Company,Industry,Company Type,Sector,Contact,Pincode,Address,Website
T&B Systems Pvt Ltd,Information Technology (IT),Industry Top,Private Sector,,600034,"New No:22, Old No:12A, Nungambakkam High Road, Chennai Tamil Nadu , 600034",
T.S.Mahalingam & Sons,BFSI,Industry Top,Private Sector,"28133333, 28133334",600014,"New No. 130, Old No. 240, Royapettah High Road, Chennai Tamil Nadu , 600014",www.tsmcars.com
Tablets India Ltd(Jhaver Group) (Jhaver),"Pharmaceuticals , Labs",Industry Top,Private Sector,42050000,600008,"Jhaver Centre 72, Marshalls Road, IV Floor, Chennai Tamil Nadu , 600008",www.tabletsindia.com
Tag Corporation Pvt Ltd,"Electrical , Electronics",Industry Top,Private Sector,,600044,"91, Thiruneermalai Road, Chromepet,, Chennai Tamil Nadu , 600044",tagcorporation.net
Tagore Educational Trust,"Institutes - Educational , Training",Industry Top,Private Sector,30101111,600034,"Rathinamangalam, Melakottaiyur,, Chennai Tamil Nadu , 600034",tagoremch.edu.in
Tagore Engineering College,"Institutes - Educational , Training",Industry Top,Private Sector,"67499400, 22299401",600017,"Rathinamangalam , Vandalur, Chennai Tamil Nadu , 600017",www.tagore-engg.ac.in
TAHDCO,"Construction, Infrastructure",Industry Top,Govt Sector,24310197,600018,"No 31, 2nd Lane, Cenatoph Road, Tynampeth, Chennai Tamil Nadu , 600018",www.tahdco.com
Taisei International,Iron & Steel,Industry Top,Private Sector,"26163830, 26164776",600040,"'TAISEI HOUSE', No. H-84 13th Main Road, Annanagar, Chennai Tamil Nadu , 600040",www.taiseint.com
Taj Club House (*****) (Taj),Hotels & Restaurants,Industry Top,Private Sector,66313131,600002,"No. 2, Club House Road, Chennai Tamil Nadu , 600002",www.tajhotels.com
Taj Connemara (Taj),Hotels & Restaurants,Industry Top,Private Sector,66000000,600002,"No.2 Binny Road, Chennai Tamil Nadu , 600002",www.taj.tajhotels.com
Taj Madras Flight Kitchen Pvt Ltd (Taj),Hotels & Restaurants,Industry Top,Private Sector,66221100,600043,"6 Officers Line, 272 GST Road, Pallavaram, Chennai Tamil Nadu , 600043",www.tajsats.com
Take Solutions Ltd( Navitas Life Sciences),Information Technology (IT),Industry Top,Private Sector,"66110700, 66110701",600034,"No. 27, Tank Bund Road, Nungambakkam, Chennai Tamil Nadu , 600034",www.takesolutions.com
Talent Maximus India Pvt Ltd,Consulting,Industry Top,Private Sector,42352300,600002,"ASV Adarsh Towers, No.719 3rd floor, Pathari Road, Chennai Tamil Nadu , 600002",www.talentmaximus.com
Talentpro India HR Pvt Ltd,Consulting,Industry Top,Private Sector,42123500,600008,"No. 30 Etharaj Salai, Egmore, Chennai Tamil Nadu , 600008",www.talentproindia.com
Tamil Naadu Edible Oils Pvt Ltd,"Food , FMCG , Agriculture",Industry Top,Private Sector,"26282633, 26285080",600102,"Old No. J-14/7, New No. J-84/7 Gangwal Mansion III III Avenue, Anna Nagar East, Chennai Tamil Nadu , 600102",tnedibleoil.com
Tamil Nadu Civil Supplies Corporation Ltd,"Ministeries , Govt Bodies , Associations",Industry Top,Public Sector,28351514,600010,"No. 12, Thambusamy Road, Kilpauk,, Chennai Tamil Nadu , 600010",www.tncsc.tn.gov.in
Tamil Nadu Corporation For Development of Women Ltd,"NGOs , Trust , Charitable Institutions",Industry Top,Public Sector,"28173412, 28173413",600034,"Mother Therasa Women's Complex-I Floor Valluvar Kottam High Road, Nugambakkam, Chennai Tamil Nadu , 600034",www.tamilnadumahalir.org
Tamil Nadu Electricity Regulatory Commission,"Ministeries , Govt Bodies , Associations",Industry Top,Govt Sector,28411378,600008,"No 19A, Rukmini Lakshmipathy Salai, Egmore, Chennai Tamil Nadu , 600008",www.tnerc.gov.in
Tamil Nadu Energy Development Agency,"Ministeries , Govt Bodies , Associations",Industry Top,Govt Sector,"28224830, 28236592",600006,"EVK Sampath Maaligai (V Floor) 68, College Road, Chennai Tamil Nadu , 600006",www.teda.in
Tamil Nadu Handloom Weavers Co-Operative Society Ltd,"Garment , Textile",Industry Top,Public Sector,"28192320, 28193371",600008,"350, Pantheon Road, Egmore, Chennai Tamil Nadu , 600008",cooptex.gov.in
Tamil Nadu Health Systems Project,"Ministeries , Govt Bodies , Associations",Industry Top,Govt Sector,24345992,600006,"3rd Floor, DMS Annex New Building 259 Anna Salai, Teynampet, Chennai Tamil Nadu , 600006",www.tnhsp.org
Tamil Nadu Housing Board (TNHB),"Ministeries , Govt Bodies , Associations",Industry Top,Govt Sector,,600035,"493, Anna Salai, Nandanam, Chennai Tamil Nadu , 600035",
Tamil Nadu Industrial Development Corporation Ltd,"Ministeries , Govt Bodies , Associations",Industry Top,Public Sector,28554421,600008,"19-A, Rukmini Lakshmipathy Road, Chennai Tamil Nadu , 600008",
Tamil Nadu Maritime Board,"Ministeries , Govt Bodies , Associations",Industry Top,Govt Sector,"24641232, 24934481",600028,"No.171, South Kesavaperumal Puram, GreenWays Road, Raja Annamalai Puram,, Chennai Tamil Nadu , 600028",www.tnmaritime.com
Tamil Nadu Medical Services Corporation Ltd,"Pharmaceuticals , Labs",Industry Top,Private Sector,28190259,600008,"417, Second floor, Pantheon Road, Egmore, Chennai Tamil Nadu , 600008",www.tnmsc.com
Tamil Nadu Minerals Ltd,"Mineral , Metal , Mining",Industry Top,Public Sector,28415003,600005,"No. 31, Kamarajar Salai, Chepauk, Chennai Tamil Nadu , 600005",www.tamingranites.com
Tamil Nadu Police Academy (TNPA),"Ministeries , Govt Bodies , Associations",Industry Top,Govt Sector,"22752002, 22752003",600048,"Vandalur, Chennai Tamil Nadu , 600048",www.tnpa.tn.gov.in
Tamil Nadu Police Housing Corporation Ltd(TNPHC),"Ministeries , Govt Bodies , Associations",Industry Top,Public Sector,"28364761, 28364762",600010,"No. 132, E.V.R.Salai (Poonamallee High Road), Kilpauk, Chennai Tamil Nadu , 600010",www.tnphc.com
Tamil Nadu Public Service Commission(TNPSC),"Ministeries , Govt Bodies , Associations",Industry Top,Govt Sector,"25300301, 25300300",600003,"Block No 81, Voc Nagar Near Dental College, Frazer Bridge Road, Park Town, Chennai Tamil Nadu , 600003",www.tnpsc.gov.in
Tamil Nadu Road Development Company Ltd,"Construction, Infrastructure",Industry Top,Private Sector,24953800,600028,"No.171, II Floor, Tamil Nadu Maritime Board Building Raja Annamalai Puram, Chennai Tamil Nadu , 600028",www.tnrdc.com
Tamil Nadu Salt Corporation Ltd.,"Ministeries , Govt Bodies , Associations",Industry Top,Public Sector,"28418344, 28522113",600002,"Sundharanraji 735, LLA Building Anna Salai, Chennai Tamil Nadu , 600002",www.tnsalt.com
Tamil Nadu Teachers Education University,"Institutes - Educational , Training",Industry Top,Private Sector,"28389044, 28389087",600097,"Gangaiamman Koil Street Karapakkam, Chennai Tamil Nadu , 600097",www.tnteu.in
Tamil Nadu Tourism Development Corporation Ltd,"Travel , Tourism",Industry Top,Public Sector,"25333113, 25333850",600002,"Tourism Complex, No.2,Wallajah Road, Chennai Tamil Nadu , 600002",www.ttdconline.com
Tamil Nadu Transmission Corporation Ltd,"Power , Energy",Industry Top,Private Sector,"28520131, 28520133",600002,"144, Anna Salai, Chennai Tamil Nadu , 600002",www.tantransco.gov.in
Tamil Nadu Veterinary and Animal Sciences University,"Institutes - Educational , Training",Industry Top,Govt Sector,25554555,600007,"Madras Veterinary College No 110, Vepery High Road, Vepery, Chennai Tamil Nadu , 600007",www.tanuvas.ac.in
Tamil Virtual Academy,"Institutes - Educational , Training",Industry Top,Govt Sector,"22201012, 22301017",600025,"Anna University Campus Gandhi Mandapam Road, Kottur, Chennai Tamil Nadu , 600025",www.tamilvu.org
