Company,Industry,Company Type,Sector,Contact,Pincode,Address,Website
Apollo Hospitals Enterprises Ltd (Apollo),"Hospitals , Healthcare",India's Top 500,Private Sector,"28290200, 28293333",600006,"No.21,Greams Lane, off. Greams Road, Chennai Tamil Nadu , 600006",www.apollohospitals.com
Ashok Leyland Ltd (Hinduja),"Automobile , Auto Ancillaries & Dealers",India's Top 500,Private Sector,22206000,600032,"No. 1, Sardar Patel Road, Guindy, Chennai Tamil Nadu , 600032",www.ashokleyland.com
BGR Energy Systems Ltd (BGR),"Environment, Petroleum , Oil , Gas , Refineries, Power , Energy, Engineering",India's Top 500,Private Sector,"24301000, 24335958",600018,"443, Anna Salai Teynampet, Chennai Tamil Nadu , 600018",www.bgrcorp.com
Carborundum Universal Ltd (Murugappa Group),"Cement , Marble , Stone etc",India's Top 500,Private Sector,30006161,600001,"Parry House, 43 Moore Street, Chennai Tamil Nadu , 600001",www.cumi.murugappa.com
Chennai Petroleum Corp. Ltd,"Petroleum , Oil , Gas , Refineries",India's Top 500,Public Sector,"24349833, 24349610",600018,"New No: 536, Anna Salai, Teynampet, Chennai Tamil Nadu , 600018",www.cpcl.co.in
Cholamandalam Investment & Finance Co Ltd (Murugappa Group),BFSI,India's Top 500,Private Sector,"40907172, 40907123",600001,"Dare House Ist Floor, 2, NSC Bose Road, Chennai Tamil Nadu , 600001",www.cholamandalam.com
E.I.D Parry India Ltd (Murugappa Group),Chemical,India's Top 500,Private Sector,"25306789, 25306240",600001,"No. 234, NSC Bose Road,Parrys Corner, Chennai Tamil Nadu , 600001",www.eidparry.com
Hatsun Agro Products Ltd,"Food , FMCG , Agriculture",India's Top 500,Private Sector,"24501622, 42949999",600097,"Rajiv Gandhi Salai (OMR) Karapakkam, Chennai Tamil Nadu , 600097",hap.in
Indian Bank,BFSI,India's Top 500,Public Sector,28134300,600014,"254-260, Avvai Shanmugam Salai, Royapettah, Chennai Tamil Nadu , 600014",www.indianbank.in
Indian Overseas Bank,BFSI,India's Top 500,Public Sector,"28524212, 28519464",600002,"763, Anna Salai, Chennai Tamil Nadu , 600002",www.iob.in
Loyal Textile Mills Ltd,"Export , Import Houses, Garment , Textile",India's Top 500,Private Sector,"42277374, 45120101",600002,"No.83 (Old No.41),Ist Main Road,R.A Puram, Chennai Tamil Nadu , 600002",www.loyaltextiles.com
MRF Ltd,"Automobile , Auto Ancillaries & Dealers",India's Top 500,Private Sector,28292777,600006,"114, Greams Road, Chennai Tamil Nadu , 600006",www.mrftyres.com
Redington India Ltd,Information Technology (IT),India's Top 500,Private Sector,"42243353, 33673353",600032,"Ground Floor, Centre Point Plot No. 8 and 11 (SP) Thiru-Vi-Ka Industrial Estate, Ekkaduthangal Guindy, Chennai Tamil Nadu , 600032",www.redingtonindia.com
Sun TV Network Ltd (Sun),"Advertising , Media",India's Top 500,Private Sector,44676767,600028,"Murasoli Maran Towers 73, MRC Nagar Main Road, MRC Nagar, Chennai Tamil Nadu , 600028",www.sunnetwork.in
Sundaram Clayton Ltd (TVS),"Automobile , Auto Ancillaries & Dealers",India's Top 500,Private Sector,28307700,600006,"Jayalakshmi Estates, 5th Floor, 29, Haddows Road, Chennai Tamil Nadu , 600006",www.sundaram-clayton.com
Tamilnadu Newsprint & Papers Ltd,"Paper , Publishing , Printing",India's Top 500,Public Sector,22354415,600032,"67, Mount Road, Guindy, Chennai Tamil Nadu , 600032",www.tnpl.com
The India Cements Ltd.,"Cement , Marble , Stone etc",India's Top 500,Private Sector,28572100,600028,"Koramnadal Towers No 93, Santom High Road, Karpagam Avenue,, Chennai Tamil Nadu , 600028",www.indiacements.co.in
The Ramco Cements Ltd,"Cement , Marble , Stone etc",India's Top 500,Private Sector,"28478666, 28478656",600004,"Auras Corporate Centre,98-A Dr.Radhakrishnan Sal,Mylapore, Chennai Tamil Nadu , 600004",www.ramcocements.in
Tube Investments of India Ltd (Murugappa Group),"Engineering, Automobile , Auto Ancillaries & Dealers",India's Top 500,Private Sector,"42177770, 25306711",600001,"Dare House, 234, N S C Bose Road, Chennai Tamil Nadu , 600001",www.tiindia.com
TVS Electronics Ltd (TVS),Information Technology (IT),India's Top 500,Private Sector,"42005200, 42275016",600020,"Arihant E-Park, No.117/1, 8th & 9th Floor, L.B.Road, Adyar, Chennai Tamil Nadu , 600020",www.tvs-e.in
Aachi Group (Aachi Masala Foods Pvt Ltd),"Food , FMCG , Agriculture",India's 501-1000,Private Sector,"26185420, 26185410",600040,"Plot No.1926,34th Street, I Block, Anna Nagar West, Chennai Tamil Nadu , 600040",www.aachigroup.com
Brakes India Pvt Ltd (TVS),"Automobile , Auto Ancillaries & Dealers",India's 501-1000,Private Sector,"26258161, 26257242",600050,"Padi, Chennai Tamil Nadu , 600050",www.brakesindia.com
Cavinkare Pvt Ltd,"Food , FMCG , Agriculture",India's 501-1000,Private Sector,"66317550, 66317560",600018,"CavinVille, No.12, Cenotaph Road,, Chennai Tamil Nadu , 600018",www.cavinkare.com
Cholamandalam MS General Insurance Company Ltd (Murugappa Group),BFSI,India's 501-1000,Private Sector,25341513,600001,"Dare House, 2nd Floor No. 2, N.S.. Bose Road, Chennai Tamil Nadu , 600001",www.cholainsurance.com
Daily Thanthi Group,"Advertising , Media, Institutes - Educational , Training",India's 501-1000,Private Sector,25303000,600007,"Daily Thanthi, No. 86, E V K Sampath Road, Chennai Tamil Nadu , 600007",www.dailythanthi.com
Equitas Small Finance Bank Ltd,BFSI,India's 501-1000,Private Sector,"42995000, 49147028",600002,"Phase II, 4th Floor, Spencer Plaza, No. 769, Anna Salai,, Chennai Tamil Nadu , 600002",www.equitasbank.com
Esab India Ltd,Engineering,India's 501-1000,Private Sector,"42281100, 43404621",600058,"Plot No.13, 3rd Main Road,,Industrial Estate, Ambattur,, Chennai Tamil Nadu , 600058",www.esabindia.com
GMMCO Ltd (CK Birla),Engineering,India's 501-1000,Private Sector,22676499,600016,"No 6, G S T Road,ST Thomas Mount, Chennai Tamil Nadu , 600016",www.gmmco.in
Indian Potash Ltd,Chemical,India's 501-1000,Public Sector,"28297855, 28297869",600006,"Floor 1, Seethakathi Business Centre 684-690, Anna Salai, Chennai Tamil Nadu , 600006",www.indianpotash.org
Kamachi Group (Kamachi ),Iron & Steel,India's 501-1000,Private Sector,42961100,600002,"Old No.50, New No.39, Anna Salai,, Chennai Tamil Nadu , 600002",www.kamachigroup.com
Kasturi & Sons Ltd(The Hindu),"Advertising , Media",India's 501-1000,Private Sector,"28576300, 28576300",600002,"The Hindu, Kasturi Buildings, 859 & 860, Anna Salai, Chennai Tamil Nadu , 600002",www.thehindu.com
Lucas TVS Ltd (Auto Electrical Division) (TVS),"Automobile , Auto Ancillaries & Dealers",India's 501-1000,Private Sector,26235414,600050,"Padi, Chennai Tamil Nadu , 600050",www.lucas-tvs.com
Manali Petrochemical Ltd,"Petroleum , Oil , Gas , Refineries",India's 501-1000,Private Sector,"25941025, 25941293",600068,"Ponneri High Road, Manali, Chennai Tamil Nadu , 600068",www.manalipetro.com
MM Forgings Ltd,Engineering,India's 501-1000,Private Sector,71601000,600032,"A25,SVK Towers,8th Floor, Thiru Vi Ka Industrial Estate,Guindy, Chennai Tamil Nadu , 600032",www.mmforgings.com
Murugappa Group (Murugappa Group),"BFSI, Food , FMCG , Agriculture, Engineering",India's 501-1000,Private Sector,"25306789, 25306222",600001,"Dare House, 234, N S C Bose Road, Chennai Tamil Nadu , 600001",www.murugappa.com
Nelcast Ltd,"Automobile , Auto Ancillaries & Dealers",India's 501-1000,Private Sector,"24984111, 24983111",600018,"159 TTK Road, Chennai Tamil Nadu , 600018",www.nelcast.com
Ramco Industries Ltd,"Cement , Marble , Stone etc",India's 501-1000,Private Sector,28478585,600004,"Auras Corporate Centre VI Floor, 98-A, Dr. Radhakrishnan Road, Mylapore, Chennai Tamil Nadu , 600004",www.ramcoindltd.com
Rane Madras Ltd (Rane),"Automobile , Auto Ancillaries & Dealers",India's 501-1000,Private Sector,"42267800, 42267807",600042,"Ganapathi Buildings, 154 (Old No. 61) Velachery Road,, Chennai Tamil Nadu , 600042",ranegroup.com
Repco Home Finance Ltd,BFSI,India's 501-1000,Private Sector,42106652,600032,"Third Floor, Alexander Square, New No : 2 Sardar Patel Road, Guindy, Chennai Tamil Nadu , 600032",www.repcohome.com
Royal Enfield(Unit of Eicher Motors) (Eicher),"Automobile , Auto Ancillaries & Dealers",India's 501-1000,Private Sector,42230400,600019,"Tiruvottiyur High Road,, Chennai Tamil Nadu , 600019",www.royalenfield.com
Shriram City Union Finance Ltd (Shriram),BFSI,India's 501-1000,Private Sector,43925300,600004,"144, Santhome High Rd, Santhoshi Nagar, Kuil Thoppu, Mylapore,, Chennai Tamil Nadu , 600004",shriramcity.in
Shriram EPC Ltd (Shriram),Engineering,India's 501-1000,Private Sector,49005555,600008,"4th Floor, Sigappi Achi Building, Rukmani Lakshmipathy Salai, Egmore, Chennai Tamil Nadu , 600008",www.shriramepc.com
Sicagen India Ltd,"Construction, Infrastructure, Iron & Steel",India's 501-1000,Private Sector,40754075,600032,"4th Floor SPIC House 88 Mount Road Guindy, Chennai Tamil Nadu , 600032",www.sicagen.com
Sical Logistics Ltd (Coffee Day),"Courier , Logistics , Supply Chain ,Packaging , Transport",India's 501-1000,Private Sector,"66157071, 66157072",600001,"73, Armenian Street, Chennai Tamil Nadu , 600001",www.sical.in
Southern Petrochemical Industries Corporation Ltd ( SPIC ),"Chemical, Petroleum , Oil , Gas , Refineries, Pharmaceuticals , Labs, Engineering",India's 501-1000,Private Sector,22350245,600032,"SPIC House, 88 Mount Road Guindy, Chennai Tamil Nadu , 600032",www.spic.in
Srikalahasthi Pipes Ltd ( Lanco Industries Ltd ) (ElectroSteel),Iron & Steel,India's 501-1000,Private Sector,24674900,600044,"NO:148 / 150, Luz Church Road, Mylapore, Chennai Tamil Nadu , 600044",www.srikalahasthipipes.com
Sundaram Finance Ltd,BFSI,India's 501-1000,Private Sector,"28881376, 28521181",600002,"21 Patulyas Road Mt Road, Chennai Tamil Nadu , 600002",www.sundaramfinance.com
Sundram Fasteners Ltd (TVS),"Automobile , Auto Ancillaries & Dealers",India's 501-1000,Private Sector,28478500,600004,"7 Floor, 98-A, Dr. Radhakrishnan Salai, Mylapore,, Chennai Tamil Nadu , 600004",www.sundram.com
Tamilnadu Petroproducts Ltd,"Chemical, Petroleum , Oil , Gas , Refineries",India's 501-1000,Private Sector,25945500,600068,"Manali Express Highway,Manali, Chennai Tamil Nadu , 600068",www.tnpetro.com
The KCP Ltd,Engineering,India's 501-1000,Private Sector,"66772800, 66772600",600008,"Ramakrishna Buildings, 2 , Dr. P.V Cherian Crescent, Chennai Tamil Nadu , 600008",www.kcp.co.in
The Lakshmi Vilas Bank Ltd,BFSI,India's 501-1000,Private Sector,"22205222, 22205306",600032,"LVB House,4/1,Sardar Patel Road Guindy, Chennai Tamil Nadu , 600032",www.lvbank.com
Tractors and Farm Equipment Ltd (TAFE) (Amalgamations),"Automobile , Auto Ancillaries & Dealers",India's 501-1000,Private Sector,66919000,600034,"77, Nungambakkam High Road, Nungambakkam, Chennai Tamil Nadu , 600034",www.tafe.com
TTK Healthcare Ltd. (TTK),"Pharmaceuticals , Labs",India's 501-1000,Private Sector,28116106,600086,"6, Cathedral Road, Chennai Tamil Nadu , 600086",www.ttkhealthcare.com
Tulsyan NEC Ltd,Iron & Steel,India's 501-1000,Private Sector,61991060,600034,"No 3, Apex Palza, Nungambakkam High Road, Chennai Tamil Nadu , 600034",tulsyannec.net
TVS Supply Chain Solutions Ltd (TVS),"Courier , Logistics , Supply Chain ,Packaging , Transport",India's 501-1000,Private Sector,,600086,"No 226, Cathedral Road, Gopalapuram, Chennai Tamil Nadu , 600086",www.tvsscs.com
Ucal Fuel Systems Ltd,"Automobile , Auto Ancillaries & Dealers",India's 501-1000,Private Sector,42208100,600002,"Raheja Towers, Delta Wing-Unit 705, 177, Anna Salai, Chennai Tamil Nadu , 600002",www.ucalfuel.com
United India Insurance Co Ltd,BFSI,India's 501-1000,Public Sector,28575200,600014,"24 Whites Road, Chennai Tamil Nadu , 600014",www.uiic.co.in
Va Tech Wabag Ltd,Environment,India's 501-1000,Private Sector,61232323,600117,"No. 17, 200 Feet Radial Road, S.Kolathur, Chennai Tamil Nadu , 600117",www.wabagindia.com
WABCO India Ltd,"Automobile , Auto Ancillaries & Dealers",India's 501-1000,Private Sector,"42242000, 42449237",600058,"Plot No 3 (SP), III Main Road Ambattur Industrial Estate, Chennai Tamil Nadu , 600058",www.wabco-auto.com
Wheels India Ltd (TVS),"Automobile , Auto Ancillaries & Dealers",India's 501-1000,Private Sector,"26234411, 26258511",600050,"Padi, Chennai Tamil Nadu , 600050",www.wheelsindia.com
Absortech India Pvt Ltd,"Courier , Logistics , Supply Chain ,Packaging , Transport",MNC,Private Sector,,600077,"No.2, Numbal Village Road, Numbal,, Chennai Tamil Nadu , 600077",www.absortech.com
Acara Solutions India Pvt Ltd,Consulting,MNC,Private Sector,"30204000, 45038357",600006,"25-26,Prince Tower, Nungambakkam 6th Floor , College Road , Chennai 600006",www.acarasolutions.in
Access Healthcare Services Pvt Ltd.,"ITES - BPO , KPO , LPO , MT",MNC,Private Sector,42022965,600058,"A9, First Main Road Ambattur Industrial Estate,, Chennai Tamil Nadu , 600058",www.accesshealthcare.org
AccSource KPO Pvt Ltd,"ITES - BPO , KPO , LPO , MT",MNC,Private Sector,42859506,600031,"No.2, 4th floor, Salzburg Square 107,Harrington Road, Chetpet, Chennai Tamil Nadu , 600031",www.accsource.com.au
Acsys International Ltd,Information Technology (IT),MNC,Private Sector,,600001,"E 3, Classic, Kamaraj Road, Chennai Tamil Nadu , 600001",www.acsys.com
Acurus Solutions Pvt Ltd,"ITES - BPO , KPO , LPO , MT",MNC,Private Sector,43053025,600014,"No.4/363, 'C' Block, Behind MAX Showroom, Kandanchavadi, OMR,, Chennai Tamil Nadu , 600014",www.acurussolutions.com
Acusis Software India Pvt Ltd,"ITES - BPO , KPO , LPO , MT",MNC,Private Sector,23746390,600029,"New no 81, Old no 130 Third Floor Sree Teja Tower, Nelson Manickam Road,, Chennai Tamil Nadu , 600029",www.acusisindia.com
Advantix Technologies,Information Technology (IT),MNC,Private Sector,42144414,600034,"Mahalingapuram, Main Road, MRM Complex, 2nd Floor Nungambakkam, Chennai Tamil Nadu , 600034",advantixtech.com
Agilisium Consulting,Information Technology (IT),MNC,Private Sector,24501464,600119,"Tower B, 51 Rattha Tek Meadows 6th Floor, Old Mahabalipuram Rd Elcot Sez, Sholinganallur,, Chennai Tamil Nadu , 600119",www.agilisium.com
AGS Health Pvt Ltd,"Hospitals , Healthcare",MNC,Private Sector,45104520,600113,"05-02 Tidel Park, 4 Canal Bank Road, Chennai Tamil Nadu , 600113",www.agshealth.com
Ahlers India Pvt Ltd,"Courier , Logistics , Supply Chain ,Packaging , Transport, Shipping , Marine",MNC,Private Sector,"66879555, 28360999",600029,"Ambleside Building, No 8 5th Flr, Khader Navas khan Road, Chennai Tamil Nadu , 600029",www.ahlers.com
Air Liquide Medical Systems Pvt Ltd,"Hospitals , Healthcare",MNC,Private Sector,"43851117, 24580041",600097,"Plot No:36, Annai Indira Nagar, Okkiyam Thoraipakkam, Chennai Tamil Nadu , 600097",www.airliquidemedicalsystems.in
Aktrea Solutions India Pvt Ltd,"Institutes - Educational , Training",MNC,Private Sector,45590100,600034,"New no. 18/Old no 22, 1st Cross St,, Lake Area Nungambakkam, Chennai Tamil Nadu , 600034",www.aktrea.com
ALFA Technologies Pvt Ltd,"Power , Energy",MNC,Private Sector,,600034,"New No. 25, Old No 18, Rama Street, Nungambakkam,, Chennai Tamil Nadu , 600034",
Alfanar Engineering Services India Pvt Ltd,"Electrical , Electronics, Power , Energy",MNC,Private Sector,66069598,600102,"KG Galaxy, II Floor, F36, Second Avenue, Anna Nagar East,, Chennai Tamil Nadu , 600102",www.alfanar.com
Allzone Management Solutions Pvt Ltd,"ITES - BPO , KPO , LPO , MT",MNC,Private Sector,"42138535, 45036062",600034,"85, 3rd St, Kamdar Nagar, Nungambakkam, Chennai Tamil Nadu , 600034",www.allzonems.com
Alpharithm Technologies Pvt Ltd,Information Technology (IT),MNC,Private Sector,42116252,600020,"46, 2nd Floor, Kamaraj Ave 2nd St, Bakthavatchalam Nagar, Adyar, Chennai Tamil Nadu , 600020",www.alpharithm.com
Amadasoft India Pvt Ltd,Information Technology (IT),MNC,Private Sector,66630300,600113,"Block 6, No.2, 2nd Floor, IITM Research Park, M.G.R Film City Road, Taramani,, Chennai Tamil Nadu , 600113",www.amadasoft.co.in
Amann Sewing & Embroidery Threads Pvt Ltd,"Garment , Textile",MNC,Private Sector,23820994,602101,"No.57, Gerugambakkam Village NO.1/459 Kundrathur High Road Gerugambakkam, Chennai Tamil Nadu , 602101",www.amann.com
Amec Foster Wheeler India Pvt Ltd,Engineering,MNC,Private Sector,66223100,600113,"6th Floor, Zenith Building Ascendas IT Park, CSIR Road Taramani, Chennai Tamil Nadu , 600113",www.amecfw.com
Atlantic Air and Oceanfreight Services Pvt Ltd,"Shipping , Marine",MNC,Private Sector,49029500,600016,"Ground Floor, No-28, 2nd Street, Ravi Colony,St. Thomas Mount,, Chennai Tamil Nadu , 600016",www.atlanticforwarding.com
Atribs Software Systems Pvt Ltd,Information Technology (IT),MNC,Private Sector,42303064,600100,"Platinum Towers, First Floor, #11,Old Trunk Road Pallavaram,Chennai II nd Flr, West Wing, Chennai Tamil Nadu , 600100",www.atribs.com
AUMUND Engineering Pvt Ltd,Engineering,MNC,Private Sector,43936300,600017,"2nd Floor, Lakshmi Neela Rite Choice Chambers 9 Bazulla Road, Chennai Tamil Nadu , 600017",www.aumund.com
Austral 3D Global Pty Ltd,Engineering,MNC,Private Sector,,600045,"Plot No B5, B9 & B10, Phase 1 Madras Export Processing Zone ï¿½ SEZ Tambaram, Chennai Tamil Nadu , 600045",www.make3deasy.com
Autoneum Nittoku Sound Proof Products India Pvt Ltd,"Consumer Durables, Home Appliances, Automobile , Auto Ancillaries & Dealers",MNC,Private Sector,,603204,"RNS 15, SIPCOT Industrial Growth Centre, Vadakapattu Post, Oragadam,, Chennai Tamil Nadu , 603204",www.autoneum.com
Avalon Technologies Pvt Ltd(Sienna Corporation),"Electrical , Electronics",MNC,Private Sector,42220400,600045,"TPI Block, B-7, First Main Road, MEPZ-SEZ, Tambaram, Chennai Tamil Nadu , 600045",www.avalontec.com
Avanti Wind Systems India Pvt Ltd,"Power , Energy",MNC,Private Sector,,600096,"Old no.28 New no.41 Bellala Aiyanambakkam, Chennai Tamil Nadu , 600096",www.avanti-online.com
AVO Carbon India Pvt Ltd,Engineering,MNC,Private Sector,"42926502, 42926501",600098,"Plot 25 A2 Dairy Plant Road, SIDCO Industrial Estate NP Ambattur, Chennai Tamil Nadu , 600098",www.avocarbon.com
Ayngaran International Media Pvt Ltd,"Advertising , Media",MNC,Private Sector,28153344,600017,"147/11, 3rd Floor, Rajparis Trimeni Towers G.N. Chetty Road, T.Nagar, Chennai Tamil Nadu , 600017",www.ayngaran.com
Bachy Soletanche Engineering Pvt Ltd,Engineering,MNC,Private Sector,,600090,"No. 6, Tiger Varadachari Road, First Cross Street Basant Nagar, Chennai Tamil Nadu , 600090",www.soletanche-bachy.com
Bahwan Cybertek Pvt Ltd,Information Technology (IT),MNC,Private Sector,"43449000, 39239000",600097,"148, Rajiv Gandhi Salai (OMR), Okkiyam Thoraipakkam, Chennai Tamil Nadu , 600097",www.bahwancybertek.com
Banca Sella,Information Technology (IT),MNC,Private Sector,"24542860, 24542861",600096,"4th Floor, Block 1, Ceedeeyes Tyche Tower, No 2, Kandhanchavadi, Chennai Tamil Nadu , 600096",www.gruppobancasella.it
Barry-Wehmiller International Pvt Ltd,Information Technology (IT),MNC,Private Sector,66171300,600032,"3rd Floor, South Block, Tamarai Tech Park S.P. Plot No.16 to 20 & 20A hiru Vi Ka Industrial Estate, Inner Ring Road, Guindy, Chennai Tamil Nadu , 600032",www.b-wi.com
BASF Catalysts India Pvt Ltd (BASF),Chemical,MNC,Private Sector,"67468100, 67468181",603204,"E-8/1 Veerapuram Village , Mahindra World City Kancheepuram, Chennai Tamil Nadu , 603204",www.catalysts.basf.com
Ben Line Agencies India Pvt Ltd,"Shipping , Marine",MNC,Private Sector,,600108,"6, M.A. Chidambaram Bu 2nd Floor, Esplanade, Chennai Tamil Nadu , 600108",www.benlineagencies.com
Benchmark Broadcast Systems Pvt Ltd,"Telecommunication , Mobile",MNC,Private Sector,42154614,600016,"No.28, 4th Floor, AMG Towers Lawyer Jagannathan Street, GST Road Alandur, Chennai Tamil Nadu , 600016",www.benchmarkbroadcast.com
Bengal Tiger Line India Pvt Ltd,"Courier , Logistics , Supply Chain ,Packaging , Transport",MNC,Private Sector,"25331001, 25331003",600108,"M A M.A. Chidambaram Building 3rd Floor, No 6 Esplanade, Chennai Tamil Nadu , 600108",www.btl-feeders.com
Bentoli Agri Nutrition India Pvt Ltd,"Food , FMCG , Agriculture",MNC,Private Sector,28361068,600084,"No: 3F2, 3rd Floor, Front Block, Metro Tower #115, Poonamallee High Road, Chennai Tamil Nadu , 600084",www.bentoli.com
Beroe Consulting India Pvt Ltd,"Advertising , Media",MNC,Private Sector,42924100,600097,"ASV Chandilya Towers,Ground Floor, No. 263/3 Rajiv Gandhi Salai, Old Mahabalipuram Road, Okkiyam Thoraipakkam, Chennai Tamil Nadu , 600097",www.beroe-inc.com
Beyontec 2nAble Solutions Pvt Ltd,Information Technology (IT),MNC,Private Sector,66197800,600096,"CEEDEEYES Tyche Towers, First Floor, Block II No.1, MGR Road, Veeranam Bypass Road, Perungudi, Chennai Tamil Nadu , 600096",www.beyontec.com
Carisma Solutions Pvt Ltd,"ITES - BPO , KPO , LPO , MT",MNC,Private Sector,28260205,600006,"4th Floor, Buhari Towers, No. 4, Moores Rd Thousand Lights, Chennai Tamil Nadu , 600006",www.carisma-solutions.com.au
Carlisle Trading & Manufacturing India Pvt Ltd,"Automobile , Auto Ancillaries & Dealers",MNC,Private Sector,,602105,"A-9 SIPCOT Ind Estate PIllaipakkam, Chennai Tamil Nadu , 602105",
Carpi India Waterproofing Specialists Pvt Ltd (Vinci),Engineering,MNC,Private Sector,24719796,600015,"New No.61/2 (Old No. 27), Perumal Koil Street, Chennai Tamil Nadu , 600015",www.carpitech.com
Carrier Race Technologies Pvt Ltd (UTC),Engineering,MNC,Private Sector,66448888,600015,"Temple Steps Block No.-1 9th Floor No.-184 & 187 Anna Salai Little Mount, Chennai Tamil Nadu , 600015",racetechnologies.net
CEI India Pvt Ltd,Information Technology (IT),MNC,Private Sector,42147393,600017,"6th Floor ,The Oval,10-12 Venkatanarayana Road,T. Nagar, Chennai Tamil Nadu , 600017",www.ceiamerica.com
CEM Business Solutions Pvt Ltd,Information Technology (IT),MNC,Private Sector,42023779,600034,"1/2,Ramcons Fortuna Towers, Kodambakam High Rd,, Chennai Tamil Nadu , 600034",www.cembs.com
Cenza Technologies Pvt Ltd,"ITES - BPO , KPO , LPO , MT",MNC,Private Sector,24960038,600096,"4, Perungudi Industrial Estate, Chennai Tamil Nadu , 600096",www.cenza.co
Chain-Sys India Pvt Ltd,Information Technology (IT),MNC,Private Sector,�39201900,600095,"85, Ponniamman Nagar, Ayanambakam , Chennai 600095",www.chainsys.com
Challenge Life HR & IT Consultancy Pvt Ltd,Consulting,MNC,Private Sector,,600041,"150/4 Erekari Street, Moorrsampet, Chennai Tamil Nadu , 600041",
ChargeBee Technologies Pvt Ltd,E -Commerce,MNC,Private Sector,65620010,600096,"SP Info City, #40 M.G.R Salai, Chennai Tamil Nadu , 600096",www.chargebee.com
Cheng Hua Engineering India Pvt Ltd,"Courier , Logistics , Supply Chain ,Packaging , Transport, Engineering",MNC,Private Sector,42116624,600032,"siddhu complex, 3 floor, no 18, sardar patel road, guindy, Chennai Tamil Nadu , 600032",www.chenghua-m.com
Chennai International Terminals Pvt Ltd,"Shipping , Marine",MNC,Private Sector,"25613000, 25613144",600004,"Regus Citi Centre Level 6, Chennai Citi Centre, 10/11, Dr. Radhakrishnan Salai,, Chennai Tamil Nadu , 600004",www.citpl.co.in
Citrisys Solutions,Information Technology (IT),MNC,Private Sector,42102050,600032,"8 Second Avenue Sundar Nagar Ekkattuthangal, Chennai Tamil Nadu , 600032",citrisys.com
Client Network Services India Pvt Ltd,Information Technology (IT),MNC,Private Sector,43937500,600002,"Spencer Plaza, 7th Floor 709 Anna Salai,, Chennai Tamil Nadu , 600002",www.cns-inc.com
Clorida Technologies Pvt Ltd,Information Technology (IT),MNC,Private Sector,42133098,600024,"Railway Border Rd, Taylor Estate, Kodambakkam, Chennai Tamil Nadu , 600024",www.clorida.com
Cloud Kinetics Technology Solutions Pvt. Ltd,Information Technology (IT),MNC,Private Sector,"39605600, 39103617",600041,"Rayala Tech Park, 3rd Floor, 144/7 Rajiv Gandhi Salai, OMR, Kottivakkam,, Chennai Tamil Nadu , 600041",www.cloud-kinetics.in
CloudIQ Technologies,Information Technology (IT),MNC,Private Sector,48651163,600097,"Chennai One IT SEZ, Module No:5-C, Phase ll, 2nd Floor, Chennai Tamil Nadu , 600097",cloudiqtech.com
Codoid Innovations Pvt Ltd,Information Technology (IT),MNC,Private Sector,,600096,"327, 3rd Main Road, Nehru Nagar, O.M.R, Kottivakkam, Chennai Tamil Nadu , 600096",codoid.com
Cognizant Technology Solutions,Information Technology (IT),MNC,Private Sector,"42096000, 47426000",600086,"5/535, Old Mahabalipuram Road Thoraipakkam, Chennai Tamil Nadu , 600086",www.cognizant.com
Collabnet Software Pvt Ltd,Information Technology (IT),MNC,Private Sector,71013700,600116,"First Software Park 110, 1st Floor, Wing ‘A’ Mount Poonamallee Road, Porur, Chennai Tamil Nadu , 600116",www.collab.net
Comodo Security Solutions Pvt Ltd,Information Technology (IT),MNC,Private Sector,45622800,600026,"8th & 10th Floor, Prestige Centre Court Vijaya Forum Mall 183 NSK Salai Vadapalani, Chennai Tamil Nadu , 600026",www.comodo.com
Concentrix Technologies India Pvt Ltd,"ITES - BPO , KPO , LPO , MT",MNC,Private Sector,"66081300, 66081325",600129,"No 152, Fortune Towers, 5th Floor, 200 Feet Radial Road, Kovilambakkam,, Chennai Tamil Nadu , 600129",www.concentrix.com
Congruent Solutions Pvt Ltd,"ITES - BPO , KPO , LPO , MT",MNC,Private Sector,"42238990, 22318990",600032,"I Floor, Central Square-1, North Wing, C28-35, Guindy, Chennai Tamil Nadu , 600032",www.congruentsolutions.com
ConRepair India Pvt Ltd,Engineering,MNC,Private Sector,48675586,600026,"1st Floor 52 / 2-100 feet Road. Jawaharlal Nehru S Salai Vadapalani, Chennai Tamil Nadu , 600026",www.con-repair.com
Constient Global Solutions Pvt Ltd,"ITES - BPO , KPO , LPO , MT",MNC,Private Sector,43325375,600004,"No:45, 4th Floor Santhome High Road Santhome, Chennai Tamil Nadu , 600004",constient.com
Continex Tradeline India Pvt Ltd,"Automobile , Auto Ancillaries & Dealers",MNC,Private Sector,,600095,"No 51:3rd Floor,VGP Amudha Nagar Maduravoyal, Chennai Tamil Nadu , 600095",
Control Techniques India Pvt Ltd,Engineering,MNC,Private Sector,66918400,600096,"117B Developed Plot Industrial Estate Perungudi, Chennai Tamil Nadu , 600096",www.acim.nidec.com
Cook Medical Device Pvt Ltd,"Pharmaceuticals , Labs",MNC,Private Sector,26793000,600056,"4/249A, Rasim Enclave, Poonamalee High Road, Goparasanallur, Kattupakkam,, Chennai Tamil Nadu , 600056",www.cookmedical.co.in
Corent Technology Pvt Ltd,Information Technology (IT),MNC,Private Sector,22500500,600032,"MCM Towers , Chennai Tamil Nadu , 600032",www.corenttech.com
